id,Prov,trade good ,latent trade good,tax,prod,manpower,terrain,Center of Trade,Local Airport,Airport,Border Crossing,Mountain Pass,Isthmus,River Tributary,River Estruary,Satellite City,Training Area
3105,Francja,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, ,1, , , , , , ,,
3106,Gotartowice,Metalworking, ,4,4,3,Urban, , , , , , , , ,,
3113,Targowek,Consumer Goods, ,4,2,5,Urban, , , , , , , , ,,
3114,Wola,Consumer Goods,Software,8,9,6,High Urban, , , , , , , , ,,
3122,Wroclaw Swiniary,Consumer Goods, ,3,1,1,Floodplains, , , , , , , , ,,
3124,Glinki,Consumer Goods,Electronics,5,5,4,Urban, , , , , , , , ,,
3133,Folwark,Metalworking,Vehicles,2,4,2,Urban, , , , , , , , ,,
3134,Wroclaw Zakrzow,Consumer Goods,Electronics,2,1,1,Urban, , , , , , , , ,,
3135,Wroclaw Polanowice,Chemicals, ,2,1,1,Farmlands, , , , , , , , ,,
3140,Pradnik Czerwony,Consumer Goods,Software,7,5,5,High Urban, , , , , , , , ,,
3148,Bialogon,Metalworking, ,2,6,1,Forest, , , , , , , , ,,
3152,Wygoda,Wool, ,2,2,2,Woods, , , , , , , , ,,
3153,Ochojec,Cattle, ,3,3,3,Woods, , , , , , , , ,,
3158,Zoliboz,Consumer Goods, ,2,2,2,High Urban, , , , , , , , ,,
3162,Debniki,Tourists, ,3,3,3,Woods, , , , , , , , ,,
3171,Stawki,0, ,2,2,2,Urban, , , , , , , , ,,
3180,Barbarka,0, ,1,1,1,Forest, , , , , , , , ,,
3184,Lotnisko,Consumer Goods, ,3,3,4,Grasslands, , , , , , , , ,,
3188,Krowodrza,Paper, ,7,5,5,High Urban, , , , , , , , ,,
3189,Starosielce,Metalworking, ,4,5,4,Grasslands, , , , , , , , ,,
3190,Wroclaw-Stare Miasto,Tourists, ,8,5,5,High Urban,3, , , , , , , ,,
3191,Jaroszowka,Wheat,Processed Food,3,3,4,Woods, , , , , , , , ,,
3196,Kasztanowe,Metalworking, ,2,3,2,Woods, , , , , , , , ,,
3199,Rembertow,Consumer Goods, ,1,2,1,Urban, , , , , , , , ,,
3200,Niemcy Poludnie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3201,Bemowo,Consumer Goods, ,4,2,5,Urban, , , , , , , , ,,
3206,Meksyk,Tourists, ,2,3,3,Urban, , , , , , , , ,,
3217,Wroclaw-Gaj,Consumer Goods,Finances,2,3,3,High Urban,1, , , , , , , ,,
3218,Holandia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3219,Czechy WschĂłd,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3220,Wroclaw-Swiniary,Vegetables, ,2,1,1,Farmlands, , , , , , , , ,,
3222,Zwierzyniec,Horses, ,3,3,3,Hills, , , , , , , , ,,
3224,Bagnowka,Horses, ,3,4,4,Grasslands, , , , , , , , ,,
3225,Nowe Miasto,Consumer Goods, ,4,5,5,Farmlands, , , , , , , , ,,
3226,Zawady,Mushrooms, ,3,3,3,Forest, , , , , , , , ,,
3232,Wielopole,Triticale,Vehicles,3,2,3,Farmlands, , , , , , , , ,,
3234,Wrzosy,0, ,1,2,2,Urban, , , , , , , , ,,
3236,Lagiewniki-Borek Falecki,Consumer Goods,Finances,5,3,4,High Urban, , , , , , , , ,,
3237,Biezanow-Prokocim,Consumer Goods,Finances,4,3,5,Urban, , , , , , , , ,,
3238,Niemcy Polnoc,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3257,Kaszczorek,0, ,1,1,1,Woods, , , , , , , , ,,
3268,Blonie,Confectionery, ,4,4,4,Urban, , , , , , , , ,,
3277,Niedobczyce,Coal,Woodworking,3,4,3,Urban, , , , , , , , ,,
3278,Boguszowice,Coal, ,1,3,2,Urban,1, , , , , , , ,,
3279,Mokotow,Metalworking,Electronics,12,14,9,High Urban, , , , , , , , ,,
3280,Stodoly,Horses, ,4,3,2,Farmlands, , , , , , , , ,,
3281,Bartodzieje,Consumer Goods,Finances,4,5,4,Urban, , , , , , , , ,,
3282,Katarzynka,0, ,2,3,2,Woods, , , , , , , , ,,
3287,Wlochy,Consumer Goods, ,4,6,3,Urban, , ,1, , , , , ,,
3288,Litwa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3289,Ukraina Zachod,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3290,Luksemburg,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3291,Bronowice,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3298,Bydgoskie przedmiescie,0, ,2,3,3,Urban, , , , , , , , ,,
3314,Bielawy,Horses,0,3,4,2,Grasslands, , , , , , , , ,,
3333,Dzieckowice,Horses, ,2,1,1,Grasslands, , , , , , , , ,,
3335,Krasowy,Stone, ,2,2,2,Forest, , , , , , , , ,,
3336,Brzezinka,Coal, ,2,3,2,Grasslands, , , , , , , , ,,
3337,Morgi,Barley, ,2,1,2,Farmlands, , , , , , , , ,,
3338,Brzeczkowice,Metalworking, ,3,3,3,Urban, , , , , , , , ,,
3387,Wroclaw-Ksieze,Chemicals, ,3,4,3,Urban,1, , , , , , , ,,
3388,Wroclaw-Srodmiescie,Tourists, ,5,5,5,High Urban,2, , , , , , , ,,
3394,Wesola,Lumber, ,1,1,1,Woods, , , , , , , , ,,
3396,Na Skarpie,0, ,2,2,3,Forest, , , , , , , , ,,
3416,Wroclaw-Osobowice,Consumer Goods, ,3,3,3,Urban, , , , , , , , ,,
3418,Pradnik Bialy,Consumer Goods,Finances,4,3,5,Urban, , , , , , , , ,,
3419,Bornholm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3422,Rudak,0, ,4,3,2,Urban, , , , , , , , ,,
3425,Wroclaw-Kowalew,Consumer Goods,Vehicles,1,1,2,Urban, , , , , , , , ,,
3444,Osowa,Triticale, ,1,2,1,Forest, , , , , , , , ,,
3445,Kiekrz,Fish, ,3,3,3,Floodplains, , , , , , , , ,,
3451,Wielgowo,Consumer Goods, ,2,1,2,Woods, , , , , , , , ,,
3482,Rubinkowo,0, ,4,5,4,Urban, , , , , , , , ,,
3485,Ursus,Metalworking,Vehicles,2,1,2,Urban, , , , , , , , ,,
3500,Zduny,Poultry,0,1,1,1,Woods, , , , , , , , ,,
3501,Jeziorzany,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
3502,Frampol,Cloth,0,1,1,1,Farmlands, , , , , , , , ,,
3503,Sztutowo,Salt,0,1,1,1,Coastline, , , , , ,1, , ,,
3504,MorÂąg,Fish,0,3,2,4,Floodplains, , , , , , , , ,,
3505,KrasnobrĂłd,Ceramics,0,1,1,1,Woods, , , , , , , , ,,
3515,Rynkowo,Metalworking, ,3,4,3,Forest, , , , , , , , ,,
3520,Bielany,0, ,2,2,1,Grasslands, , , , , , , , ,,
3525,Nysa LuĹĽycka,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3531,Wroclaw Redziny,Consumer Goods, ,2,1,1,Floodplains, , , , , , , , ,,
3544,Piaski,Lumber, ,3,3,3,Forest, , , , , , , , ,,
3549,Ursynow,Consumer Goods, ,5,4,6,Urban, , , , , , , , ,,
3550,Wilanow,Consumer Goods, ,2,1,1,Urban, , , , , , , , ,,
3558,Wawer,Lumber, ,3,2,4,Woods, , , , , , , , ,,
3559,Wroclaw-Lesnica,Chemicals, ,1,1,1,Grasslands, , , , , , , , ,,
3560,Barwinek,Vegetables, ,5,4,3,Urban, , , , , , , , ,,
3561,Podkarczowka,Tourists, ,5,3,3,Urban, , , , , , , , ,,
3565,Zimne Wody,Paper, ,3,4,3,Floodplains, , , , , , , , ,,
3577,Wroclaw Pracze,Consumer Goods, ,1,1,3,Grasslands, , , , , , , , ,,
3584,Goraj,Wool,0,1,1,1,Hills, , , , , , , , ,,
3585,Dabie,Metalworking, ,4,5,4,Urban, , , , , , , , ,,
3609,Gorny Taras,Chemicals, ,3,5,3,Grasslands, , , , , , , , ,,
3614,Wroclaw-Krzyki,Horses, ,3,3,3,High Urban,1, , , , , , , ,,
3618,Wroclaw-Kozanow,Consumer Goods,Software,4,5,4,High Urban,1, , , , , , , ,,
3620,Wroclaw-Grabiszyn,Consumer Goods,Electronics,3,3,2,High Urban,1, , , , , , , ,,
3621,Wroclaw-Strachowice,Consumer Goods, ,3,2,2,Urban, , ,1, , , , , ,,
3650,Wroclaw Zerniki,Consumer Goods,Processed Food,2,1,2,Urban, , , , , , , , ,,
3655,Wroclaw Ratyn,Vegetables, ,1,1,3,Farmlands, , , , , , , , ,,
3657,Wypaleniska,Copper, ,3,3,4,Farmlands, , , , , , , , ,,
3677,Bialorus wschod,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3681,Wroclaw Pilczyce,Consumer Goods, ,2,1,3,Urban, , , , , , ,1, ,,
3695,Brydyujscie,Fruits,Processed Food,5,3,4,Urban, , , , , , , , ,,
3721,Ukraina wschod,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3808,Mokre,0, ,6,6,5,Urban, , , , , , , , ,,
3887,Krolewiec,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
3888,Bialorus zachod,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4000,Swina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4001,Oplawiec,Horses, ,3,3,3,Forest, , , , , , , , ,,
4016,Las Gdanski,Mushrooms, ,3,3,3,Forest, , , , , , , , ,,
4017,Fordon 2,Consumer Goods, ,4,3,4,Farmlands, , , , , , , , ,,
4018,Legnowo,Apiculture, ,3,3,3,Farmlands, , , , , , , , ,,
4019,Osowa Gora,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4020,Dukla,Lumber,0,2,1,2,Forest, , , ,1, , , , ,,
4021,Sekowa,Chemicals,0,1,1,1,Forest, , , , , , , , ,,
4022,Krempna,Barley,0,1,1,1,Forest, , , , , , , , ,,
4023,Jasliska,Barley,0,1,1,1,Forest, , , , , , , , ,,
4024,Uscie Gorlickie,Fur,0,1,1,1,Highlands, , , , , , , , ,,
4025,Krynica-Zdroj,Tourists,0,3,2,2,Highlands, , , , , , , , ,,
4026,Muszyna,Tourists,0,2,1,2,Highlands, , , ,1, , , , ,,
4027,Lutowiska,Stone,0,1,1,1,Highlands, , , , , , , , ,,
4028,Kroscienko Nad Dunajcem,Fruits,0,1,1,1,Highlands, , , , , , , , ,,
4029,Szczawnica,Oscypek,0,1,1,1,Highlands, , , , , , , , ,,
4030,Piwnicza-Zdroj,Tourists,0,1,1,1,Highlands, , , , , , , , ,,
4031,Grodek nad Dunajcem,Tourists,0,1,1,1,Hills, , , , , , , , ,,
4032,Czarna,Coal,0,#N/A,#N/A,#N/A,Highlands, , , , , , , , ,,
4033,Osiek,Sulfur,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
4034,Szczurowa,Triticale,0,1,1,1,Farmlands, , , , , , ,1, ,,
4035,Tyrawa Woloska,Barley,0,1,1,1,Grasslands, , , , , , , , ,,
4036,Labowa,Salt,0,1,1,1,Highlands, , , , , , , , ,,
4037,Bobowa,Cloth,0,2,1,1,Farmlands, , , , , , , , ,,
4038,Zarszyn,Vodka,0,1,1,1,Hills, , , , , , , , ,,
4039,Iwonicz-Zdroj,Tourists,0,#N/A,#N/A,#N/A,Highlands, , , , , , , , ,,
4040,Gorlice,Iron,0,3,1,3,Hills, , , , , , , , ,,
4041,Dobra,Lumber,0,1,1,1,Highlands, , , , , , , , ,,
4042,Nowy Sacz Centrum,Consumer Goods, ,6,6,3,Urban,2, , , , , , , ,,
4043,Gdow,Fish,0,3,1,3,Highlands, , , , , , , , ,,
4044,Wojnicz,Salt,0,2,1,2,Hills, , , , , , , , ,,
4045,luzna,Maize,0,1,1,1,Hills, , , , , , , , ,,
4046,Osiek Jasielski,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
4047,Chorkowka,Chemicals,0,2,1,2,Hills, , , , , , , , ,,
4048,Rymanow,Glass,0,3,1,2,Grasslands, , , , , , , , ,,
4049,Sanok,Chemicals,0,6,11,6,Urban,1, , , , , , , ,,
4050,Ciezkowice,#N/A,#N/A,2,1,2,#N/A, , , , , , , , ,,
4051,Laskowa,Oscypek,0,1,1,1,Hills, , , , , , , , ,,
4052,City of Debica,Chemicals,0,6,13,8,Urban,1, , , , , , , ,,
4053,Mielec,Metalworking,0,2,1,2,Grasslands, , , , , , , , ,,
4054,Dabrowa Tarnowska,Horses,0,3,2,3,Farmlands, , , , , , , , ,,
4055,Szerzyny,Vodka,0,1,1,1,Hills, , , , , , , , ,,
4056,Biecz,Iron,0,2,1,3,Farmlands, , , , , , , , ,,
4057,Trzciana,Salt,0,1,1,1,Hills, , , , , , , , ,,
4058,City of Jaslo,Chemicals,0,5,10,6,Farmlands,1, , , , , , , ,,
4059,Wietrzychowice,Fish,0,1,1,1,Floodplains, , , , , , , , ,,
4060,Radgoszcz,Oil,0,1,1,1,Grasslands, , , , , , , , ,,
4061,Jodlowa,Lumber,0,1,1,1,Forest, , , , , , , , ,,
4062,Domaradz,Stone,0,1,1,1,Woods, , , , , , , , ,,
4063,Tarnow Centrum,Tourists, ,6,5,4,Urban,2, , , , , , , ,,
4064,Wadowice Gorne,Pigs,0,1,1,1,Woods, , , , , , , , ,,
4065,City of Mielec,Metalworking,0,10,21,10,Urban,1, , , , , , , ,,
4066,Cmolas,Lumber,0,1,1,1,Forest, , , , , , , , ,,
4067,Tarnow,Glass,0,3,3,4,Farmlands, , , , , , , , ,,
4068,Plesna,Lumber,0,1,1,2,Woods, , , , , , , , ,,
4069,Rzepiennik Strzyzewski,Triticale,0,1,1,1,Grasslands, , , , , , , , ,,
4070,Wierzhoslawice,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
4071,Tuchow,Metalworking,0,2,1,3,Grasslands, , , , , , , , ,,
4072,Brzyska,Fish,0,1,1,1,Floodplains, , , , , , , , ,,
4073,Tarnowiec,Ceramics,0,1,1,1,Grasslands, , , , , , , , ,,
4074,Dzikowiec,Horses,0,1,1,1,Grasslands, , , , , , , , ,,
4075,Ranizow,Naval supplies,0,1,1,1,Grasslands, , , , , , , , ,,
4076,Skolyszyn,Chemicals,0,2,1,2,Grasslands, , , , , , , , ,,
4077,Jaslo,Wine,0,2,1,3,Farmlands, , , , , , , , ,,
4078,Spytkownice,Fish,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
4079,Chrzanow,Iron,0,6,8,8,Urban, , , , , , , , ,,
4080,Jaworzno Srodmiescie,Consumer Goods, ,4,1,2,Urban, , , , , , , , ,,
4081,Tomice,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
4082,Polanka Wielka,Maize,0,1,1,1,Grasslands, , , , , , , , ,,
4083,Wegierska Gorka,0,0,2,1,2,Forest, , , , , , , , ,,
4084,Istebna,0,0,2,1,2,Forest, , , , , , , , ,,
4085,Wieprz,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4086,Andrychow,Iron,0,6,5,7,Urban, , , , , , , , ,,
4087,Osiek,Pigs,0,#N/A,#N/A,#N/A,Grasslands, , , , , , , , ,,
4088,Milowka,Lumber,0,1,1,1,Forest, , , , , , , , ,,
4089,Radziechowy-Wieprz,0,0,#N/A,#N/A,#N/A,Woods, , , , , , , , ,,
4090,Swinna,0,0,1,1,1,Woods, , , , , , , , ,,
4091,Lekawica,0,0,1,1,1,Forest, , , , , , , , ,,
4092,Zywiec,Beer,0,5,10,5,Highlands,1, , , , , , , ,,
4093,Rytro,Lumber,0,1,1,1,Highlands, , , , , , , , ,,
4094,Stary Sacz,Cloth,0,4,2,4,Hills, , , , , , , , ,,
4095,Olkusz,Copper,0,7,7,8,Urban, , , , ,1, , , ,,
4096,Gilowice,0,0,1,1,1,Highlands, , , , , , , , ,,
4097,Lososina Dolna,Fruits,0,2,1,2,Hills, ,1, , , , , , ,,
4098,Ropa,Chemicals,0,1,1,1,Hills, , , , , , , , ,,
4099,Moszczenica,Lumber,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
4100,Brzeznica,Triticale,0,#N/A,#N/A,#N/A,Farmlands, , , , , , , , ,,
4101,City of Gorlice,Chemicals,0,5,6,4,Hills,2, , , , , , , ,,
4102,Krzeszowice,Beer,0,5,3,6,Grasslands, , , , , , , , ,,
4103,Zakliczyn,Stone,0,2,1,2,Highlands, , , , , , , , ,,
4104,Lipinki,Chemicals,0,1,1,1,Woods, , , , , , , , ,,
4105,Podegrodzie,Fruits,0,2,1,2,Hills, , , , , , , , ,,
4106,Michalowice,Horses,0,5,4,3,Grasslands, , , , , , , , ,,
4107,Lukowica,Barley,0,2,1,1,Hills, , , , , , , , ,,
4108,Suloszowa,Tourists,0,1,1,1,Hills, , , , , , , , ,,
4109,Gromnik,Stone,0,1,1,1,Hills, , , , , , , , ,,
4110,Leczyce,Pigs,0,2,1,2,Forest, , , , , , , , ,,
4111,City of Chojnice,Confectionery,0,6,8,7,Urban,1, , , , , , , ,,
4112,Parchowo,Triticale,0,1,1,1,Grasslands, , , , , , , , ,,
4113,Krynica Morska,Salt,0,1,1,1,Coastline, , , , , , , , ,,
4114,Sztutowo,Tourists,0,1,1,1,Coastline, , , , , , , , ,,
4115,Milomlyn,Lumber,0,1,1,1,Forest, , , , , , , , ,,
4116,Suwalki,Stone,0,1,1,1,Woods, , , , , , , , ,,
4117,Sorkwity,Fish,0,1,1,1,Marsh, , , , , , , , ,,
4118,Potegowo,Lumber,0,1,1,1,Grasslands, , , , , , , , ,,
4119,Slupsk Centrum,0, ,2,2,1,Grasslands,2, , , , , , , ,,
4120,Kepice,Mushrooms,0,1,1,1,Forest, , , , , , , , ,,
4121,City of Slawno,Lumber,0,1,1,2,Grasslands, , , , , , , , ,,
4122,Filipow,Fish,0,1,1,1,Woods, , , , , , , , ,,
4123,Bodzanow,0,0,1,1,1,Farmlands, , , , , , , , ,,
4124,Barciany,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
4125,Wyry,Horses,0,1,1,1,Woods, , , , , , , , ,,
4126,Laziska Gorne,Coal,0,3,4,4,Highlands, , , , , , , , ,,
4127,Bobrowniki,0,0,#N/A,#N/A,#N/A,Forest, , , , , , , , ,,
4128,Bytom,Consumer Goods,Finances,5,3,4,Urban, , , , , , , , ,,
4129,City of Sejny,Wool,0,1,1,1,Grasslands, , , , , , , , ,,
4130,Borne Sulinowo,Tourists,0,1,1,1,Forest, ,1, , , , , , ,,
4131,Dabrowka,0,0,1,1,1,Grasslands, , , , , , , , ,,
4132,Mweru,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4133,Kivu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4134,Rutanzige,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4135,Male Dabie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4137,Alakol,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4138,Issyk-Kul,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4139,OulujĂÂ¤rvi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4140,Saimaa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4141,Przedecz,Fish,0,1,1,1,Farmlands, , , , , , , , ,,
4142,Skorcz,Cattle,0,1,1,1,Grasslands, , , , , , , , ,,
4143,Nowy Staw,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
4144,Cedry Wielkie,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
4145,Pelczyce,Fish,0,1,1,1,Farmlands, , , , , , , , ,,
4146,Czchow,Lumber,0,1,1,1,Woods, , , , , , , , ,,
4147,City of Mragowo,Metalworking,0,3,4,3,Floodplains, , , , , , , , ,,
4148,Dobre Miasto,Naval supplies,0,2,2,2,Woods, , , , , , , , ,,
4150,Przybierniow,Wheat,0,1,1,1,Forest, , , , , , , , ,,
4151,Kosakowo,Tourists,0,3,1,3,Coastline, , , , , , , , ,,
4152,City of Puck,Amber,0,2,1,2,Coastline, , , , , , , , ,,
4153,Krokowa,Cattle,0,2,1,1,Farmlands, , , , , ,1, , ,,
4154,City of Koscierzyna,Beer,0,3,4,4,Grasslands,1, , , , , , , ,,
4155,Skrwilno,0,0,1,1,1,Grasslands, , , , , , , , ,,
4156,Winnica,#N/A,#N/A,1,1,1,#N/A, , , , , , , , ,,
4157,Pszczolki,Apiculture,0,1,1,2,Farmlands, , , , , , , , ,,
4158,Baranow Sandomierski,Sulfur,0,1,1,2,Grasslands, , , , , , , , ,,
4160,Suchy Dab,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
4161,Traki Wielkie,Glass,0,2,1,2,Woods, , , , , , , , ,,
4163,Malbork,Poultry,0,1,1,1,Grasslands, , , , , , , , ,,
4164,Lichnowy,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
4165,Stary Targ,Cattle,0,1,1,1,Grasslands, , , , , , , , ,,
4166,Dzierzgon,Paper,0,1,1,1,Farmlands, , , , , , , , ,,
4167,Konstantynow Lodzki,Cloth,0,2,3,3,Farmlands, , , , , , , , ,,
4168,Gora Swietej Malgorzaty,Barley,0,1,1,1,Grasslands, , , , , , , , ,,
4169,Baltow,Tourists,0,1,1,1,Farmlands, , , , , , , , ,,
4170,Krosniewice,Pigs,0,1,1,1,Farmlands, , , , , , , , ,,
4171,Lowicz,Maize,0,1,1,1,Grasslands, , , , , , , , ,,
4173,Mikolow,Cloth,0,8,9,7,Urban, , , , , , , , ,,
4174,Lesnica,Tourists,0,1,1,1,Hills, , , , , , , , ,,
4175,Pyskowice,0,0,2,2,3,Farmlands, , , , , , , , ,,
4176,Ozarowice,0,0,#N/A,#N/A,#N/A,#N/A, ,1, , , , , , ,,
4177,Swierczow,Vegetables,0,1,1,1,Farmlands, , , , , , , , ,,
4178,Biala,0,0,1,1,1,Farmlands, , , , , , , , ,,
4179,City of Turek,0,0,4,6,4,Grasslands,1, , , , , , , ,,
4180,Zakroczym,0,0,1,1,1,Farmlands, , , , , , , , ,,
4181,Plonsk,0,0,1,1,1,Grasslands, , , , , , , , ,,
4182,Pultusk,0,0,4,3,4,Grasslands, , , , , , , , ,,
4183,Wieliszew,0,0,3,1,3,Farmlands, , , , , , , , ,,
4184,Ceranow,Triticale,0,1,1,1,Woods, , , , , , , , ,,
4185,Klukowo,Wheat,0,1,1,1,Farmlands, , , , , , , , ,,
4186,OstroĹ‚Ä™ka ĹšrĂłdmieĹ›cie,Consumer Goods, ,3,1,3,Urban,2, , , , , , , ,,
4187,Opino Gorna,Poultry,0,1,1,1,Farmlands, , , , , , , , ,,
4188,Swiercze,0,0,1,1,1,Grasslands, , , , , , , , ,,
4189,Glinojeck,Sugar,0,1,1,1,Woods, , , , , , , , ,,
4190,Somianka,0,0,1,1,1,Grasslands, , , , , , , , ,,
4191,Strzegowo,0,0,1,1,1,Grasslands, , , , , , , , ,,
4192,Zabrodzie,0,0,1,1,1,Grasslands, , , , , , , , ,,
4193,Serock,0,0,2,1,3,Floodplains, , , , , , ,1, ,,
4206,Prazmow,0,0,2,1,2,Grasslands, , , , , , , , ,,
4207,Chynow,0,0,1,1,1,Farmlands, , , , , , , , ,,
4208,Maly Plock,Vegetables,0,1,1,1,Grasslands, , , , , , , , ,,
4209,Zbuczyn,0,0,1,1,1,Grasslands, , , , , , , , ,,
4210,Kakolewnica,Confectionery,0,1,1,1,Woods, , , , , , , , ,,
4214,Siemiatkowo,0,0,1,1,1,Grasslands, , , , , , , , ,,
4215,Grudusk,Cattle,0,1,1,1,Farmlands, , , , , , , , ,,
4216,Szydlowo,0,0,1,1,1,Farmlands, , , , , , , , ,,
4217,Starozreby,0,0,1,1,1,Farmlands, , , , , , , , ,,
4218,Sadowne,Fruits,0,1,1,1,Grasslands, , , , , , , , ,,
4222,Borowie,Maize,0,1,1,1,Grasslands, , , , , , , , ,,
4224,Jezioro Pogoria,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4227,Szumowo,Stone,0,1,1,1,Woods, , , , , , , , ,,
4228,Andrzejowo,0,0,1,1,1,Grasslands, , , , , , , , ,,
4229,Szulborze Wielkie,0,0,1,1,1,Grasslands, , , , , , , , ,,
4230,Zareby Koscielne,0,0,1,1,1,Grasslands, , , , , , , , ,,
4231,Ostrow Mazowiecka,0,0,2,1,2,Grasslands, , , , , , , , ,,
4232,Zuromin,0,0,2,1,2,Grasslands, , , , , , , , ,,
4235,Vistula Lagoon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, , , , , , , , ,,
4236,Imielin,Stone,0,1,1,1,Highlands, , , , , , , , ,,
4238,Radzyn Chelminski,0,0,1,1,1,Grasslands, , , , , , , , ,,
4239,Psary,0,0,2,1,2,Highlands, , , , , , , , ,,
4240,Ledziny,Coal,0,2,4,3,Highlands, , , , , , , , ,,
4241,Wilczeta,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
4242,Godkowo,Triticale,0,1,1,1,Farmlands, , , , , , , , ,,
4243,Barczewo,Lumber,0,2,1,3,Woods, , , , , , , , ,,
4244,Lukta,Triticale,0,1,1,1,Grasslands, , , , , , , , ,,
4245,Morag,Ceramics,0,1,1,1,Grasslands, , , , , , , , ,,
4246,Maldyty,Mushrooms,0,1,1,1,Woods, , , , , , , , ,,
4247,Gietrzwald,Mushrooms,0,1,1,1,Forest, , , , , , , , ,,
4248,Bisztynek,Wool,0,1,1,1,Grasslands, , , , , , , , ,,
4249,Dywity,Barley,0,2,1,2,Grasslands, , , , , , , , ,,
4250,Ryn,Tourists,0,1,1,1,Hills, , , , , ,1, , ,,
4251,Nowinka,Fur,0,1,1,1,Forest, , , , , , , , ,,
4252,Dzwierzuty,Apiculture,0,1,1,1,Grasslands, , , , , , , , ,,
4253,Mragowo,Dairy,0,1,1,1,Floodplains, , , , , , , , ,,
4254,Wydyminy,Poultry,0,1,1,1,Marsh, , , , , , , , ,,
4255,Piecki,Fish,0,1,1,1,Marsh, , , , , , , , ,,
4256,Swietajno,Fish,0,1,1,1,Marsh, , , , , , , , ,,
4257,Kalinowo,Pigs,0,1,1,1,Grasslands, , , , , , , , ,,
4258,City of Augustow,Naval supplies,0,4,6,5,Urban,1, , , , , , , ,,
4259,City of Elk,Paper,0,9,10,11,Urban,1, , , , , , , ,,
4260,Reszel,Lumber,0,1,1,1,Woods, , , , , , , , ,,
4261,City of Gizycko,Tourists,0,4,3,5,Farmlands,1, , , , , , , ,,
4262,Bakalarzewo,Fur,0,1,1,1,Woods, , , , , , , , ,,
4263,Olecko,Lumber,0,3,4,3,Farmlands, , , , , , , , ,,
4264,Budry,Maize,0,1,1,1,Grasslands, , , , , , , , ,,
4265,Korytnica,0,0,1,1,1,Grasslands, , , , , , , , ,,
4266,Krasnopol,Dairy,0,1,1,1,Grasslands, , , , , , , , ,,
4267,Otwock,0,0,7,6,8,Urban, , , , , , , , ,,
4268,Borkowice,0,0,1,1,1,Woods, , , , , , , , ,,
4269,Stezyca,Fruits,0,2,1,2,Farmlands, , , , , , , , ,,
4270,Przytyk,0,0,1,1,1,Grasslands, , , , , , , , ,,
4271,Klwow,0,0,1,1,1,Grasslands, , , , , , , , ,,
